ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
913,API ONPREMISE,QR Code,204,QR Code - QR Management,qr-code-qr-management,Ecosistemas,ECOSISTEMAS,No Aplica,,"PRAGMA _x000D_
 MonitoreoDCM_AAA _x000D_
 TAXIS SAN JUAN _x000D_
 Zencillo Automatización _x000D_
 A PAGAR V2 _x000D_
 PruebasIntegración _x000D_
 SmartPayment POS EGlobalT _x000D_
 Backend de Taxis Libres App _x000D_
 Propia _x000D_
 BE MOVIL _x000D_
 POS 4.0 _x000D_
 Autocab driver companyon _x000D_
 BAGUER _x000D_
 D y S SAS _x000D_
 PagoCI24 _x000D_
 TAXI TAXI _x000D_
 APP IMPULSADOR _x000D_
 AUTOCAB _x000D_
 RADIO TAXI _x000D_
 AUTOCAB ASISTENTE CONDUCTOR _x000D_
 Tax Andaluz _x000D_
 Payment Gateway controles inteligentes _x000D_
 MOVIVA _x000D_
 Cegid V.2.0 _x000D_
 PTM _x000D_
 zencillo Capturador _x000D_
 TAXIS VERDES _x000D_
 COOPEBOMBASV2",,
914,API ONPREMISE,query-customer,201,Query - Corporate - Customer,query-corporate-customer,Clientes Empresas,Conocimiento de clientes,No Aplica,ConsultaInformacionClienteEmpresarial/V1.0,"PortalConstructor_AW0360004 _x000D_
 MonitoreoDCM_NU0084001",,
915,Servicio,No Aplica,No Aplica,Realizar Operacion Cheque,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,"SCI _x000D_
AW0709001 _x000D_
AW01010",,
916,Servicio,No Aplica,No Aplica,Realizar Operacion Fiduciaria,No Aplica,Negocios Fiduciarios y Fondos,Inversiones,No Aplica,,No Tiene,,
917,API ONPREMISE,Recharges,101,Recharges-Product Balance,recharges-product-balance,Captaciones,Gestión de flujos,Transferencias y Recargas,,"ALM_AW0955001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 CGC_NU0014001 _x000D_
 ALM_AW0955",,
918,API ONPREMISE,Recharges,200,Recharges-Product Balance,recharges-product-balance,Captaciones,Gestión de flujos,Transferencias y Recargas,,"APIC_PRODUCTORCONSUMIDOR_PDN_DANVA _x000D_
 APP-PERSONAS_NU0146001",,
919,API ONPREMISE,Recharges,101,Recharges-Recharges Management,recharges-recharges-management,Captaciones,Gestión de flujos,Transferencias y Recargas,,"ALM_AW0955001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 CGC_NU0014001 _x000D_
 ALM_AW0955",,
920,API ONPREMISE,Recharges,200,Recharges-Recharges Management,recharges-recharges-management,Captaciones,Gestión de flujos,Transferencias y Recargas,,"APIC_PRODUCTORCONSUMIDOR_PDN_DANVA _x000D_
 APP-PERSONAS_NU0146001",,
921,Servicio,No Aplica,No Aplica,Recuperar Catalogo_BB2,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0922 _x000D_
AW0856 _x000D_
AW0998 _x000D_
NU0142001",,
922,Servicio,No Aplica,No Aplica,Recuperar Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0718001 _x000D_
AW0611001 _x000D_
AW0709001 _x000D_
AW0683001 _x000D_
AW0628001",,
923,Servicio,No Aplica,No Aplica,Recuperar Comisiones Cliente,No Aplica,Tesoreria,Tesoreria,No Aplica,,"SVE _x000D_
AW0360",,
924,Servicio,No Aplica,No Aplica,Recuperar Cuentas Deposito,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,No Tiene,,
925,Servicio,No Aplica,No Aplica,Recuperar Datos Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW1177 _x000D_
AW0937 _x000D_
SAI _x000D_
SU2 _x000D_
AW0856 _x000D_
PAC _x000D_
SCI _x000D_
CNB _x000D_
AW0210001 _x000D_
ALM _x000D_
SVP _x000D_
ALL _x000D_
AW0611001 _x000D_
GDE _x000D_
AW0709001 _x000D_
CDE _x000D_
AW1128 _x000D_
AW01010 _x000D_
APP _x000D_
PSE _x000D_
AW1011 _x000D_
SVE _x000D_
ATM _x000D_
AUD _x000D_
FAC _x000D_
AW0360",,
926,Servicio,No Aplica,No Aplica,Recuperar Datos Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW1177 _x000D_
AW0937 _x000D_
ELIBOM _x000D_
SU2 _x000D_
AW0856 _x000D_
AW1294001 _x000D_
AW1097001 _x000D_
AW0210001 _x000D_
SVP _x000D_
GDE _x000D_
AW1287001 _x000D_
AW1287 _x000D_
AW1078 _x000D_
AW1128 _x000D_
APP _x000D_
AW1011 _x000D_
AW1204001 _x000D_
SVE _x000D_
AW0939001 _x000D_
AW0360009 _x000D_
AW1108001 _x000D_
AW1165 _x000D_
AW1203001 _x000D_
AW1272001 _x000D_
AW1285001 _x000D_
AW1302001 _x000D_
NU0004001 _x000D_
TVP _x000D_
AW1249 _x000D_
AW0638 _x000D_
AW1258002 _x000D_
APIC _x000D_
AW1312001 _x000D_
CDT",,
927,Servicio,No Aplica,No Aplica,Recuperar Datos Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0718001 _x000D_
AW0683001 _x000D_
AW0227001 _x000D_
AW0628001",,
928,Servicio,No Aplica,No Aplica,Recuperar Datos Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,No Tiene,,
929,Servicio,No Aplica,No Aplica,Recuperar Documentos_BB1,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW1177 _x000D_
AW0922 _x000D_
AW0856 _x000D_
AW1182 _x000D_
AW0611001 _x000D_
AW1128 _x000D_
AW0659",,
930,Servicio,No Aplica,No Aplica,Recuperar Filiales,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0718001 _x000D_
AW0227001",,
931,Servicio,No Aplica,No Aplica,Recuperar Id Cliente,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0718001 _x000D_
AW0504001 _x000D_
AW0227001 _x000D_
AW0628001 _x000D_
AW0682001",,
932,Servicio,No Aplica,No Aplica,Recuperar Producto,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"APIC _x000D_
AW0718001 _x000D_
AW0227001",,
933,Servicio,No Aplica,No Aplica,Recuperar Tasa Cambio,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0718001 _x000D_
AW0227001",,
934,API ONPREMISE,Reference Data Management,100,Reference Data Management - Master Catalogue,reference-data-management-master-catalogue,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,ConsultaCatalogoMaestros/V1.0,"creditlens_NU0038001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 EASYHOME_NU0004001 _x000D_
 ChannelManagement_D2B_NU0051001 _x000D_
 VisorInteractivo_AW1249001 _x000D_
 ChannelManagement_NU0051001 _x000D_
 Galatea_NU0051001",,
935,Servicio,No Aplica,No Aplica,Regenerar Clave SVE,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
936,Servicio,No Aplica,No Aplica,Registrar Sesion Usuario,No Aplica,Leasing,Leasing,Administración del ciclo de vida del activo,,AW0360006,,
937,Servicio,No Aplica,No Aplica,Registro Usuario Validacion Biometrica,No Aplica,Sufi,SUFI,Sufi,,TP,,
938,API ONPREMISE,Regulatory Compliance,102,Regulatory Compliance - Risk Rating Management SCOVIC,regulatory-compliance-risk-raiting-management-scovic,MDM,Otras Funciones de Apoyo,Los Federales,,"SAPCRM_AW0611001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 ALM_AW0955001 _x000D_
 ALM_AW0955 _x000D_
 APM_AW0388001 _x000D_
 ComponenteAdaptadorNequi_NU0163001",,
939,API ONPREMISE,Sales Product Agreement,101,Sales Product Agreement - Product Information,sales-product-agreement-product-information,Ecosistemas Clientes,Pricing,No Aplica,,"GESTION DE PRECIOS_NU0091001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 MascaraTransaccional_NU0021001",,
940,API ONPREMISE,Sales Product Agreement,201,Sales Product Agreement - Product Information,sales-product-agreement-product-information,Ecosistemas Clientes,Pricing,No Aplica,,GESTION DE PRECIOS_NU0091001,,
941,API ONPREMISE,Second Security Factor,101,Second Security Factor - Information,second-security-factor-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"Autenticacion-para-VCAS_NU0101001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 One Click Payment_NU0199001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 PreaprobadosSucursales_AW1299001",,
942,API ONPREMISE,Second Security Factor,101,Second Security Factor - Management,second-security-factor-management,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"Autenticacion-para-VCAS_NU0101001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 One Click Payment_NU0199001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 PreaprobadosSucursales_AW1299001",,
943,API ONPREMISE,Security,315,Security - Authorization Code,security-authorization-code,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,"GenerarCodigoAutorizacionPorToken/V1.0
GestionCodigoAutorizacion/V1.0
GenerarCodigoAutorizacionPorCredenciales/V1.0","PEP_AW1281002 _x000D_
 EASYHOME_NU0004001 _x000D_
 SVP_NU0004001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 FUA_AW1291001 _x000D_
 HabitatCore_AW1281003 _x000D_
 HDC_AW0453001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001 _x000D_
 ALM_AW0955 _x000D_
 Networking_NU0046001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Portal Contenidos Bancolombia_AW1218001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 EDPYME_AW1170 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Security_AW1291001 _x000D_
 SVN_NU0212001",,
944,API ONPREMISE,Security,401,Security - Authorization Code,security-authorization-code,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"Portal Contenidos Bancolombia_AW1218001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Kioscos_AW1272001 _x000D_
 EDIN_AW1185001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 HabitatCore_AW1281003 _x000D_
 MigracionFUA_AW1291001 _x000D_
 PortalAutogestionPyme_AW1287 _x000D_
 LoansOffer_NU0102001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 One Click Payment_NU0199001 _x000D_
 HDC_AW0453001 _x000D_
 Transversal_AW0937001 _x000D_
 EASYHOME_NU0004001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 SVN_NU0212001 _x000D_
 PEP_AW1281002 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 EDPYME_AW1170 _x000D_
 ALM_AW0955001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 SVE_AW0360001 _x000D_
 BNPL_NU0287001 _x000D_
 Marketplacetu360HM_NU0035001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ModuloNegociosFiduciarios_NU0247001",,
945,API ONPREMISE,Security,100,Security - Authorization Code,security-authorization-code,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,MarketplaceEcosistemasPersonas_NU0035001,,
946,API ONPREMISE,Security,315,Security - Code Validation,security-code-validation,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,GestionAutenticacionOAuth2/V1.0,"PEP_AW1281002 _x000D_
 EASYHOME_NU0004001 _x000D_
 SVP_NU0004001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 FUA_AW1291001 _x000D_
 HabitatCore_AW1281003 _x000D_
 HDC_AW0453001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001 _x000D_
 ALM_AW0955 _x000D_
 Networking_NU0046001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Portal Contenidos Bancolombia_AW1218001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 EDPYME_AW1170 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Security_AW1291001 _x000D_
 SVN_NU0212001",,
947,API ONPREMISE,Security,401,Security - Code Validation,security-code-validation,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"Portal Contenidos Bancolombia_AW1218001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Kioscos_AW1272001 _x000D_
 EDIN_AW1185001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 HabitatCore_AW1281003 _x000D_
 MigracionFUA_AW1291001 _x000D_
 PortalAutogestionPyme_AW1287 _x000D_
 LoansOffer_NU0102001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 One Click Payment_NU0199001 _x000D_
 HDC_AW0453001 _x000D_
 Transversal_AW0937001 _x000D_
 EASYHOME_NU0004001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 SVN_NU0212001 _x000D_
 PEP_AW1281002 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 EDPYME_AW1170 _x000D_
 ALM_AW0955001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 SVE_AW0360001 _x000D_
 BNPL_NU0287001 _x000D_
 Marketplacetu360HM_NU0035001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ModuloNegociosFiduciarios_NU0247001",,
948,API ONPREMISE,Security,100,Security - Code Validation,security-code-validation,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,MarketplaceEcosistemasPersonas_NU0035001,,
949,API ONPREMISE,Security,315,Security - Encrypted Key,security-encrypted-key,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,GestionLlaveCifrado/V1.0,"PEP_AW1281002 _x000D_
 EASYHOME_NU0004001 _x000D_
 SVP_NU0004001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 FUA_AW1291001 _x000D_
 HabitatCore_AW1281003 _x000D_
 HDC_AW0453001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001 _x000D_
 ALM_AW0955 _x000D_
 Networking_NU0046001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Portal Contenidos Bancolombia_AW1218001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 EDPYME_AW1170 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Security_AW1291001 _x000D_
 SVN_NU0212001",,
950,API ONPREMISE,Security,401,Security - Encrypted Key,security-encrypted-key,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"Portal Contenidos Bancolombia_AW1218001 _x000D_
 NETWORKING_NU0046001 _x000D_
 Kioscos_AW1272001 _x000D_
 EDIN_AW1185001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 HabitatCore_AW1281003 _x000D_
 MigracionFUA_AW1291001 _x000D_
 PortalAutogestionPyme_AW1287 _x000D_
 LoansOffer_NU0102001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 One Click Payment_NU0199001 _x000D_
 HDC_AW0453001 _x000D_
 Transversal_AW0937001 _x000D_
 EASYHOME_NU0004001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 SVN_NU0212001 _x000D_
 PEP_AW1281002 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 EDPYME_AW1170 _x000D_
 ALM_AW0955001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 SVE_AW0360001 _x000D_
 BNPL_NU0287001 _x000D_
 Marketplacetu360HM_NU0035001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 ModuloNegociosFiduciarios_NU0247001",,
951,API IBM Cloud ,Security,114,Security - Oauth provider,security-oauth-provider,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"APP Cayman _x000D_
 Cayman_Soporte _x000D_
 TMP EDIN APP_AW1276001 _x000D_
 TEMP MAM_AW1204 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 TMP2 johucorr_AW1185001 _x000D_
 App inversionesGB_AW1185001 _x000D_
 TMP1 johucorr_AW0360010 _x000D_
 APOLO_AW0360010",,
952,API IBM Cloud ,Security,202,Security - OAuth Provider from OTP,oauth-otp,Trasversales e Inclusión,Distribución Digital,No Aplica,GeneracionToken/V1.0,"WorldRemit_WRT _x000D_
 BC_Herramientas_MonitoreoPrd _x000D_
 Carventuri _x000D_
 Uniteller_UTL _x000D_
 BCHerramientasMonitoreo_AAA _x000D_
 WOMPI _x000D_
 TIGOUNE _x000D_
 Tuya _x000D_
 VIRGINMOBILEAPP _x000D_
 SmallWorld_OMX _x000D_
 Baguer SAS _x000D_
 SERVICIOS DE SALUD IPS SURAMERICANA S.A.S. _x000D_
 OPERACIONES GENERALES SURAMERICANA SAS _x000D_
 SERVICIOS GENERALES SURAMERICANA S.A.S. _x000D_
 CONSULTORIA EN GESTION DE RIESGOS SURAMERICANA _x000D_
 SEGUROS GENERALES SURAMERICANA SA _x000D_
 SEGUROS DE VIDA SURAMERICANA SA _x000D_
 EPS SURAMERICANA S.A. _x000D_
 FONYOU COLOMBIA SAS _x000D_
 INVERSORA EBCO APP _x000D_
 ABC PAGOS _x000D_
 LYRAAPP _x000D_
 CLAROAPP _x000D_
 SUPERPAGOSAPP _x000D_
 ZONA PAGOS _x000D_
 Place to Pay _x000D_
 T atiendo Boton Bancolombia _x000D_
 Boton Bancolombia _x000D_
 E-collect _x000D_
 App_Blendex_BotonBancolombia _x000D_
 ofrendaappbc _x000D_
 ALKOSTO BOTON BANCOLOMBIA _x000D_
 WOMPI APP _x000D_
 COMFAMA APP _x000D_
 SISTECREDITO SAS _x000D_
 PAYMENTEZ APP _x000D_
 FONVALMED",,
953,API IBM Cloud ,Security,202,Security - OAuth Provider from OTP Pymes,oauth-otp-pymes,SOA y APIs,Servicios e Integració​​​​​​​​​​​​​​n,No Aplica,,"WorldRemit_WRT _x000D_
 BC_Herramientas_MonitoreoPrd _x000D_
 Carventuri _x000D_
 Uniteller_UTL _x000D_
 BCHerramientasMonitoreo_AAA _x000D_
 WOMPI _x000D_
 TIGOUNE _x000D_
 Tuya _x000D_
 VIRGINMOBILEAPP _x000D_
 SmallWorld_OMX _x000D_
 Baguer SAS _x000D_
 SERVICIOS DE SALUD IPS SURAMERICANA S.A.S. _x000D_
 OPERACIONES GENERALES SURAMERICANA SAS _x000D_
 SERVICIOS GENERALES SURAMERICANA S.A.S. _x000D_
 CONSULTORIA EN GESTION DE RIESGOS SURAMERICANA _x000D_
 SEGUROS GENERALES SURAMERICANA SA _x000D_
 SEGUROS DE VIDA SURAMERICANA SA _x000D_
 EPS SURAMERICANA S.A. _x000D_
 FONYOU COLOMBIA SAS _x000D_
 INVERSORA EBCO APP _x000D_
 ABC PAGOS _x000D_
 LYRAAPP _x000D_
 CLAROAPP _x000D_
 SUPERPAGOSAPP _x000D_
 ZONA PAGOS _x000D_
 Place to Pay _x000D_
 T atiendo Boton Bancolombia _x000D_
 Boton Bancolombia _x000D_
 E-collect _x000D_
 App_Blendex_BotonBancolombia _x000D_
 ofrendaappbc _x000D_
 ALKOSTO BOTON BANCOLOMBIA _x000D_
 WOMPI APP _x000D_
 COMFAMA APP _x000D_
 SISTECREDITO SAS _x000D_
 PAYMENTEZ APP _x000D_
 FONVALMED",,
954,API ONPREMISE,Security Access Entitlement,100,Security Access Entitlement - Memberships,security-access-entitlement-memberships,Seguridad,Autenticación y Monitoreo,Autorizaciones,,No tiene,,
955,API ONPREMISE,Security Access Entitlement,100,Security Access Entitlement - Relations,security-access-entitlement-relations,Seguridad,Autenticación y Monitoreo,Autorizaciones,,No tiene,,
956,API ONPREMISE,Security Access Entitlement Delegates,100,Security Access Entitlement Delegates - Information,security-access-entitlement-delegates-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,Entitlement_NU0141001,,
957,API ONPREMISE,Security Access Entitlement Delegates,100,Security Access Entitlement Delegates - Management,security-access-entitlement-delegates-management,Seguridad,Autenticación y Monitoreo,Autorizaciones,,Entitlement_NU0141001,,
958,API ONPREMISE,Security Access Entitlement Owners,100,Security Access Entitlement Owners - Information,security-access-entitlement-owners-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,Entitlement_NU0141001,,
959,API ONPREMISE,Security Access Entitlement Owners,100,Security Access Entitlement Owners - Management,security-access-entitlement-owners-management,Seguridad,Autenticación y Monitoreo,Autorizaciones,,Entitlement_NU0141001,,
960,API ONPREMISE,Security Access Entitlement Privileges,100,Security Access Entitlement Privileges - Information,security-access-entitlement-privileges-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,No tiene,,
961,API ONPREMISE,Security Access Entitlement Schemes,100,Security Access Entitlement Schemes - Information,security-access-entitlement-schemes-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,No tiene,,
962,API ONPREMISE,Security Alphanumeric,101,Security Alphanumeric - Passwords Management,security-alphanumeric-passwords-management,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,No tiene,,
963,API ONPREMISE,Security Application,110,Security Application - Event Records,security-application-event-records,Seguridad,Autenticación y Monitoreo,Monitoreo y Transversales,,MascaraTransaccional_NU0021001,,
964,API ONPREMISE,Security Channel,101,Security Channel - Authentication Credentials,security-channel-authentication-credentials,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,APP-PERSONAS_NU0146001,,
965,API ONPREMISE,Security Code,100,Security Code - Management,security-code-management,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"AW133302_securityCode _x000D_
 BNPL_NU0287001",,
966,API ONPREMISE,Security Code,200,Security Code - Management,security-code-management,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,Management_AW1333002,,
967,API ONPREMISE,Security Contacts,112,Security Contacts - Information,security-contacts-information,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
968,API ONPREMISE,Security Contacts,112,Security Contacts - Management,security-contacts-management,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
969,API ONPREMISE,Security Contacts,112,Security Contacts - OTP,security-contacts-otp,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"MascaraTransaccional_NU0021001 _x000D_
 ALM_AW0955001",,
970,API ONPREMISE,Security Session Id,205,Security Session Id - OAuth,security-session-id-oauth,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,ConsultaDatosTributariosCliente/V1.0,"EASYHOME_NU0004001 _x000D_
 SVP_NU0004001 _x000D_
 MovilidadCore_AW1281002 _x000D_
 PortalConstructor_AW0360004 _x000D_
 FUA_AW1291001 _x000D_
 HabitatCore_AW1281003 _x000D_
 PEP_AW1281002 _x000D_
 HDC_AW0453001 _x000D_
 SVETDL_AW0360006 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 AW1312001_SVS_ENROLAMIENTO _x000D_
 Networking_NU0046001 _x000D_
 CGC_NU0014001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 NETWORKING_NU0046001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 MigracionFUA_AW1291001 _x000D_
 LoansOffer_NU0102001 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 Transversal_AW0937001 _x000D_
 BancolombiaPay_AW1435001",,
971,API ONPREMISE,Security Session Id,300,Security Session Id - OAuth,security-session-id-oauth,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,ConsultaDatosTributariosCliente/V1.0,"PEP_AW1281002 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 Marketplacetu360HM_NU0035001 _x000D_
 SVECarteraComercial_NU0162001 _x000D_
 HDC_AW0453001 _x000D_
 EASYHOME_NU0004001 _x000D_
 BNPL_NU0287001 _x000D_
 HabitatCore_AW1281003 _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 CGC_NU0014001 _x000D_
 ModuloSVELeasing_AW0360006",,
972,API ONPREMISE,Security Session Management,100,Security Session Management - Session Management,security-session-management,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"MigracionFUA_AW1291001 _x000D_
 PortalAutogestionPyme_AW1287 _x000D_
 SVSENROLAMIENTO_AW1312001 _x000D_
 SVSENROLAMIENTO_AW1312001 _x000D_
 AdaptadorMarketplace_NU0143001 _x000D_
 HDC_AW0453001 _x000D_
 Transversal_AW0937001 _x000D_
 PEP_AW1281002 _x000D_
 ModuloNegociosFiduciarios_NU0247001",,
973,API ONPREMISE,Security Session Management,100,Security Session Management - Session Management,security-session-management,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,MarketplaceEcosistemasPersonas_NU0035001,,
974,API ONPREMISE,Security Simple Authentication,110,Security Simple Authentication - OAuth,security-simple-authentication-oauth,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,ConsultaDatosComplementariosCliente/V1.0,"FUA_AW1291001 _x000D_
 PEP_AW1281002 _x000D_
 EDIN_AW1185001 _x000D_
 MigracionFUA_AW1291001",,
975,API ONPREMISE,Security Simple Authentication,200,Security Simple Authentication - OAuth,security-simple-authentication-oauth,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,ConsultaDatosComplementariosCliente/V1.0,"PEP_AW1281002 _x000D_
 EDIN_AW1185001",,
976,Servicio,No Aplica,No Aplica,Seguimiento Solicitudes Cliente,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,AW0611001,,
977,Servicio,No Aplica,No Aplica,Seguridad Informacion Tarjetas,No Aplica,Servicios Transaccionales MP,Medios de pago Aceptacion,Servicios Transaccionales MP,,"AW1189001 _x000D_
NU0019001 _x000D_
NU0103001",,
978,Servicio,No Aplica,No Aplica,Seguro De Retiro En Cajero,No Aplica,Pagos y Recaudos,Seguros,No Aplica,,"NU0021001 _x000D_
DEVELOPSOATEST _x000D_
AW1151001 _x000D_
NU0084001",,
979,API ONPREMISE,Customer Investment Authentication,102,Session Token - Management,customer-investment-authentication-session-token-management,Valores,Inversiones,No Aplica,,"AsesoriaAsistida_AW1208 _x000D_
 Inversi_NU0160001 _x000D_
 MonitoreoDCM_NU0084001",,
980,API IBM Cloud ,Loans Sufi,100,Simulation,simulation,Sufi,SUFI,Sufi,,"MarketplaceEcosistemasPersonas_NU0035001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
