ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
605,Servicio,No Aplica,No Aplica,Grabar Participante,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0611002 _x000D_
AW0611001 _x000D_
AW0795 _x000D_
Banismo",,
606,Servicio,No Aplica,No Aplica,Grabar Participante,No Aplica,MDM,"DATOS, ANALÍTICA, IA, BLOCKCHAIN",MDM,,"AW0683001 _x000D_
AW0563001",,
607,API IBM Cloud ,Gwe - Accounts Reconciliation,101,Gwe - Accounts Reconciliation - Reconciliation Data Query,gwe-accounts-reconciliation-data-query,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,GestionConciliacionClientes/V1.0,PORTALCOBRANZA_AW1294001,,
608,API IBM Cloud ,Gwe-Payments,106,Gwe - Payments - QR Codes Management,gwe-payments-qr-codes-management,Servicios Transaccionales MP,Medios de pago Aceptacion,Aceptación,,"TPM ALM APP_AW0955001 _x000D_
 Ecosistema De Pagos_AW1314001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
609,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Balance Query,gwe-account-alm-balance-query,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
610,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Customer Vinculation,gwe-account-alm-customer-vinculation,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
611,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Financial Agreement Query,gwe-accounts-alm-financial-agreement,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
612,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Transactions,gwe-account-alm-transactions,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
613,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Validation Payment Bill,gwe-account-alm-validation-payment-bill,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
614,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Account ALM - Withdraw Cash,gwe-account-alm-withdraw-cash,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
615,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Accounts ALM - Account Reissue,gwe-accounts-alm-account-reissue,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
616,API IBM Cloud ,Gwe-Accounts ALM,133,Gwe-Accounts ALM - Validation NEQUI,gwe-accounts-alm-validation-nequi,Trasversales e Inclusión,Inclusión,BALM,,"TPM ALM APP_AW0955001 _x000D_
 BC_Herramientas_MonitoreoPrd",,
617,API IBM Cloud ,Gwe-Cards Wallet,130,Gwe-Cards - Card Verification Code,gwe-cards-card-verification-code,Por Definir,Por Definir,Por Definir,,"Billetera Movil _x000D_
 BC_Herramientas_MonitoreoPrd",,
618,API IBM Cloud ,Gwe-Cards Wallet,130,Gwe-Cards - Cards Preferences,gwe-cards-preferences,Servicios Transaccionales MP,Medios de pago Aceptacion,Aceptación,,"Billetera Movil _x000D_
 BC_Herramientas_MonitoreoPrd",,
619,API IBM Cloud ,Gwe-Cards Wallet,130,Gwe-Cards - Customer Cards,gwe-cards-customer-cards,Servicios Transaccionales MP,Medios de pago Aceptacion,Aceptación,,"Billetera Movil _x000D_
 BC_Herramientas_MonitoreoPrd",,
